;wL;event
1975-05-19 22:00:00;19.221;0
1975-05-19 22:05:00;19.196;0
1975-05-19 22:10:00;19.154;0
1975-05-19 22:15:00;19.12;0
1975-05-19 22:20:00;19.096;0
1975-05-19 22:25:00;19.071;0
1975-05-19 22:30:00;19.056;0
1975-05-19 22:40:00;19.026;0
1975-05-19 22:50:00;19.004;0
1975-05-19 23:00:00;18.986;0
1975-05-19 23:10:00;18.968;0
1975-05-19 23:20:00;18.949;0
1975-05-19 23:30:00;18.94;0
1975-05-19 23:40:00;18.928;0
1975-05-19 23:50:00;18.919;0
1975-05-20 00:00:00;18.913;0
1975-05-20 01:00:00;18.867;0
1975-05-20 02:00:00;18.84;0
1975-05-20 03:00:00;18.818;0
1975-05-20 04:00:00;18.803;0
1975-05-20 05:00:00;18.794;0
1975-05-20 06:00:00;18.776;0
1975-05-20 07:00:00;18.763;0
1975-05-20 08:00:00;18.763;0
1975-05-20 09:00:00;18.757;0
1975-05-20 10:00:00;18.748;0
1975-05-20 11:20:00;18.742;0
